"Country","Imprisonment Rate (per 100K people)","Count"
"El Salvador","1,086","71,000"
"Cuba","794","90,000"
"Rwanda","637","89,034"
"Turkmenistan","576","35,000"
"American Samoa","538","301"
"United States","531","1,767,200"
"Panama","499","22,239"
"Guam","475","820"
"Palau","428","77"
"Uruguay","424","14,965"
"Seychelles","413","417"
"Bahamas","409","1,617"
"Antigua and Barbuda","400","233"
"Brazil","390","839,672"
"Thailand","377","262,319"
"British Virgin Islands","368","114"
"Cape Verde","366","2,100"
"Saint Vincent and the Grenadines","353","392"
"Dominica","348","261"
"Belarus","345","32,556"
"United States Virgin Islands","345","359"
"Turkey","340","341,497"
"Grenada","335","379"
"Nicaragua","332","20,918"
"Namibia","318","8,900"
"Maldives","314","1,700"
"French Guiana","305","1,001"
"Costa Rica","301","15,700"
"Russia","300","433,006"
"Saint Kitts and Nevis","296","160"
"Belize","289","1,199"
"Chile","281","53,200"
"Saint Lucia","278","514"
"Trinidad and Tobago","276","3,802"
"Northern Mariana Islands","273","153"
"Gibraltar","273","92"
"Peru","272","93,985"
"Guyana","271","2,156"
"Morocco","270","100,004"
"Libya","269","19,103"
"Cayman Islands","266","189"
"Martinique","261","1,003"
"Curacao","261","429"
"South Africa","258","157,056"
"Barbados","258","743"
"Georgia","256","9,688"
"Fiji","256","2,379"
"Argentina","254","117,810"
"Azerbaijan","244","24,698"
"Eswatini","243","3,405"
