,Country,Geographical subregion,Intermediary region,Continental region,CountryID
0,Algeria,Northern Africa,—,Africa,DZA
1,Egypt,Northern Africa,—,Africa,EGY
2,Libya,Northern Africa,—,Africa,LBY
3,Morocco,Northern Africa,—,Africa,MAR
4,Sudan,Northern Africa,—,Africa,SDN
5,Tunisia,Northern Africa,—,Africa,TUN
6,Western Sahara,Northern Africa,—,Africa,ESH
7,British Indian Ocean Territory,Eastern Africa,Sub-Saharan Africa,Africa,IOT
8,Burundi,Eastern Africa,Sub-Saharan Africa,Africa,BDI
9,Comoros,Eastern Africa,Sub-Saharan Africa,Africa,COM
10,Djibouti,Eastern Africa,Sub-Saharan Africa,Africa,DJI
11,Eritrea,Eastern Africa,Sub-Saharan Africa,Africa,ERI
12,Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa,ETH
13,French Southern Territories,Eastern Africa,Sub-Saharan Africa,Africa,ATF
14,Kenya,Eastern Africa,Sub-Saharan Africa,Africa,KEN
15,Madagascar,Eastern Africa,Sub-Saharan Africa,Africa,MDG
16,Malawi,Eastern Africa,Sub-Saharan Africa,Africa,MWI
17,Mauritius,Eastern Africa,Sub-Saharan Africa,Africa,MUS
18,Mayotte,Eastern Africa,Sub-Saharan Africa,Africa,MYT
19,Mozambique,Eastern Africa,Sub-Saharan Africa,Africa,MOZ
20,Reunion,Eastern Africa,Sub-Saharan Africa,Africa,REU
21,Rwanda,Eastern Africa,Sub-Saharan Africa,Africa,RWA
22,Seychelles,Eastern Africa,Sub-Saharan Africa,Africa,SYC
23,Somalia,Eastern Africa,Sub-Saharan Africa,Africa,SOM
24,South Sudan,Eastern Africa,Sub-Saharan Africa,Africa,SSD
25,Uganda,Eastern Africa,Sub-Saharan Africa,Africa,UGA
26,Tanzania,Eastern Africa,Sub-Saharan Africa,Africa,TZA
27,Zambia,Eastern Africa,Sub-Saharan Africa,Africa,ZMB
28,Zimbabwe,Eastern Africa,Sub-Saharan Africa,Africa,ZWE
29,Angola,Middle Africa,Sub-Saharan Africa,Africa,AGO
30,Cameroon,Middle Africa,Sub-Saharan Africa,Africa,CMR
31,Central African Republic,Middle Africa,Sub-Saharan Africa,Africa,CAF
32,Chad,Middle Africa,Sub-Saharan Africa,Africa,TCD
33,Congo Republic,Middle Africa,Sub-Saharan Africa,Africa,COG
34,DR Congo,Middle Africa,Sub-Saharan Africa,Africa,COD
35,Equatorial Guinea,Middle Africa,Sub-Saharan Africa,Africa,GNQ
36,Gabon,Middle Africa,Sub-Saharan Africa,Africa,GAB
37,Sao Tome and Principe,Middle Africa,Sub-Saharan Africa,Africa,STP
38,Botswana,Southern Africa,Sub-Saharan Africa,Africa,BWA
39,Eswatini,Southern Africa,Sub-Saharan Africa,Africa,SWZ
40,Lesotho,Southern Africa,Sub-Saharan Africa,Africa,LSO
41,Namibia,Southern Africa,Sub-Saharan Africa,Africa,NAM
42,South Africa,Southern Africa,Sub-Saharan Africa,Africa,ZAF
43,Benin,Western Africa,Sub-Saharan Africa,Africa,BEN
44,Burkina Faso,Western Africa,Sub-Saharan Africa,Africa,BFA
45,Cabo Verde,Western Africa,Sub-Saharan Africa,Africa,CPV
46,Cote d'Ivoire,Western Africa,Sub-Saharan Africa,Africa,CIV
47,Gambia,Western Africa,Sub-Saharan Africa,Africa,GMB
48,Ghana,Western Africa,Sub-Saharan Africa,Africa,GHA
49,Guinea,Western Africa,Sub-Saharan Africa,Africa,GIN
50,Guinea-Bissau,Western Africa,Sub-Saharan Africa,Africa,GNB
